Bodennutzungsarten;"Landwirtsch. Betriebe mit ökologischem Landbau Anzahl"
;Anzahl
Hülsenfrüchte zur Körnergewinnung;5740
Erbsen;1470
Ackerbohnen;2340
Süßlupinen;850
Sojabohnen;1220
Andere Hülsenfrüchte zur Körnergewinnung;1470
Handelsgewächse;2790
Ölfrüchte zur Körnergewinnung;2010
Winterraps;520
Sommerraps, Winter- und Sommerrübsen;20
Sonnenblumen;1100
Öllein (Leinsamen);320
Andere Ölfrüchte zur Körnergewinnung;430
Weitere Handelsgewächse;1030
Heil-, Duft- und Gewürzpflanzen;390
Heil-, Duft- und Gewürzpflanzen im Freiland;360
Hanf;210
Handelsgewächse nur zur Energieerzeugung;420
Gemüse, Erdbeeren u.a. Gartengewächse;3060
Gemüse und Erdbeeren;2980
Gemüse und Erdbeeren im Freiland;2940
Gemüse/Erdbeer. unter Glas/and. begehb. Schutzabd.;720
Blumen und Zierpflanzen;230
Blumen und Zierpflanzen im Freiland;200
Gartenbausämereien, Jungpflanzenerz. zum Verkauf;90
Gartenbausäm.,Jungpfl.erz.z.Verk. Glas/Schutzabd.;70
Saat-/Pflanzguterz.,Gräser,Hackfr.,weit.Handelsgew;310
Sonstige Kulturen auf dem Ackerland;1210
Stilllegungsflächen/Brache;6150
Dauerkulturen;3170
Baum- und Beerenobst (einschließlich Nüsse);1970
Baumobstanlagen;.
Baumobstanlagen für Kernobst;1340
Baumobstanlagen für Kernobst im Freiland;1330
Baumobstanlagen für Steinobst;490
Baumobstanlagen für Steinobst im Freiland;480
Beerenobstanlagen (ohne Erdbeeren);670
Beerenobstanlagen (ohne Erdbeeren) im Freiland;660
Nüsse;280
Rebflächen;1060
Rebflächen für Keltertrauben;1010
Rebflächen für Tafeltrauben;90
Baumschulen;110
Baumschulen im Freiland;100
Weihnachtsbaumkulturen;260
Andere Dauerkulturen im Freiland;170
Dauergrünland;26090
Wiesen;18560
Weiden (einschließlich Mähweiden und Almen);19320
Ertragsarmes Dauergrünland;6490
Aus d.Erz.gen.Dauergrünl.m.Beihilfe-/Prämienanspr.;1850
