,Unternehmensdemografie
GH749804,Bergbau und Gewinnung von Steinen und Erden
UD808352,Verarbeitendes Gewerbe
LM629330,Ernährungsgewerbe und Tabakverarbeitung
DA598393,Textil- und Bekleidungsgewerbe
PH894781,"Herstellung von Leder, Lederwaren und Schuhen"
CK782010,"H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel)"
TC577682,"Herstellung v. Papier,Pappe,Druckerzeugnissen usw."
PR843633,Maschinenbau
RE990682,Fahrzeugbau
LR912995,Herstellung von Möbeln und sonstigen Waren
LF716475,Reparatur u.Installation von Masch.u.Ausrüstungen
MJ532681,Energieversorgung
OB954857,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm."
MI534458,Baugewerbe
QU591674,"Handel, Instandhaltung und Reparatur von Kfz"
LQ756597,"Kfz-Handel, Instandhaltung und Reparatur von Kfz"
HT576245,Großhandel (ohne Handel mit Kraftfahrzeugen)
DC895366,Einzelhandel (ohne Handel mit Kraftfahrzeugen)
AK935481,Verkehr und Lagerei
BO802979,Landverkehr und Transport in Rohrfernleitungen
KF846972,Schifffahrt
BN997694,Luftfahrt
EG613103,"Lagerei, sonstige Dienstleistungen für den Verkehr"
IB698774,"Post-, Kurier- und Expressdienste"
JL929475,Gastgewerbe
AE760716,Beherbergung
JQ996616,Gastronomie
HI878563,Information und Kommunikation
LU592464,Verlagswesen
BB772501,"Film, TV-Programme, Kinos, Tonstudios, Musikverlag"
JL890870,Dienstleistungen der Informationstechnologie
MC506930,Informationsdienstleistungen
HF711388,"Versicherungen, Rückversicherungen, Pensionskassen"
TG823083,Mit Finanz- u. Versicherungsdienstl. verb. Tätigk.
DT634671,Grundstücks- und Wohnungswesen
KS761775,"Freiberufliche, wiss. u. techn. Dienstleistungen"
IE726161,"Rechts- und Steuerberatung, Wirtschaftsprüfung"
PN738265,"Verwaltung u.Führung v.Untern., Untern.beratung"
HB603245,"Architektur-,Ing.büros,techn.,physik.Untersuchung"
CK578145,Forschung und Entwicklung
KH989161,Werbung und Marktforschung
PJ800184,"Sonst. freiberufl.,wissenschaftl. u. techn.Tätigk."
DB871920,Veterinärwesen
CA824203,Sonstige wirtschaftliche Dienstleistungen
PO944364,Vermietung von beweglichen Sachen
CM519520,Vermittlung und Überlassung von Arbeitskräften
GF564433,"Reisebüros, -veranstalter u. sonst. Reservierungen"
HR709032,Wach- und Sicherheitsdienste sowie Detekteien
KO655366,"Gebäudebetreuung, Garten- und Landschaftsbau"
GL981702,Dienstleistungen für Unternehmen u.Privatpers. ang
SD843218,Gesundheits- und Sozialwesen
MJ868192,Gesundheitswesen
MK510183,Heime (ohne Erholungs- und Ferienheime)
OB897356,Sozialwesen (ohne Heime)
KD737076,"Kunst, Unterhaltung und Erholung"
