,Überlebende Unternehmen vor 2 Jahren Anzahl,Überlebensrate der Unternehmen Vor 2 Jahren Anzahl
UD808352,177,90.8
TG823083,8,88.9
TC577682,10,100
SD843218,190,90.5
RE990682,5,71.4
QU591674,272,93.2
PR843633,20,87
PO944364,11,100
PN738265,47,82.5
PJ800184,10,71.4
PH894781,1,100
OB954857,6,100
OB897356,80,94.1
MK510183,18,72
MJ868192,92,92
MJ532681,4,100
MI534458,314,84.2
MC506930,2,100
LU592464,6,85.7
LR912995,16,94.1
LQ756597,34,91.9
LM629330,22,81.5
LF716475,19,90.5
KS761775,130,83.3
KO655366,123,84.8
KH989161,8,88.9
KF846972,1,50
KD737076,24,100
JQ996616,250,91.9
JL929475,272,91.6
JL890870,36,92.3
IE726161,32,84.2
IB698774,75,86.2
HT576245,54,91.5
HR709032,56,86.2
HI878563,47,88.7
HF711388,1,100
HB603245,28,87.5
GL981702,39,92.9
GH749804,1,50
GF564433,5,100
EG613103,30,88.2
DT634671,23,88.5
DC895366,184,93.9
DB871920,3,75
DA598393,6,100
CM519520,75,88.2
CK782010,4,100
CK578145,2,100
CA824203,309,87.5
BO802979,155,90.1
BN997694,1,100
BB772501,3,75
AK935481,262,88.5
AE760716,22,88
